ADAMS       F  45  18   20  20  20
ALEXANDER   F  34  15   18  15  30
APPLE       M  28  25   25  25  25
ARTHUR      M  55  10   25  20  40
AVERY       M  45  15   15  25  15
BAREFOOT    M  59  20   20  20  20
BAUCOM      M  50  25   30  20  30
BLAIR       F  52  10   10  10  10
BLALOCK     F  35   5   10  15  15
BOSTIC      F  32  20   25  30  25
BRADLEY     M  24  12   16  14  18
BRADY       M  29  20   20  20  20
BROWN       F  29  18   18  25  25
BRYANT      F  42  16   18  20  20
BURNETTE    M  40  10   10  10  10
CHEUNG      M  33  30   50  30  40
LEHMAN      M  55  20   20  40  20
VALADEZ     M  28  14   28  40  25
APPLEY      F  48  25   25  25  35
ARTHUREL    M  56  40   25  30  30
AVERIE      F  28  18   15  15  15
BAREF       M  39  20   20  30  20
BAUCO       M  44  25   20  20  30
BLAIRE      M  37  10   10   5  10
BLOCK       M  26   5   10  10   5
BOSIC       F  47  20   25  30  25
BRADE       F  50  32   16  18  18
BRADY       F  53  20   20  20  20
BROWNE      M  42  18   15  10  18
BRANT       F  46  16   18  20  10
BURNE       M  55  20   10  30  10
CHUNG       F  57  30   30  30  30
LEAN        F  41  20   20  20  20
VADEZ       M  36  24   28  40  15
ALEA        F  58  25   25  25  25
THURDUE     F  46  30   25  20  30
ERNIE       M  51  25   25  25  25
REFOOT      F  63  60   50  50  40
BOME        F  64  55   30  40  30
BLIR        F  35  18   10   5  10
BLALOC      M  60  45   20  30  25
BOTIC       F  30  20   25  30  25
BREY        M  60 100   50  75  70
BODY        M  41  26   20  30  20
BON         M  35  38   18  38  18
BRAT        F  33  26   18  20  18
BUNET       M  52  30   20  18  10
CHEN        F  47  30   30  30  30
LEMAN       F  27  40   30  25  20
LADEZ       F  62  20   90  40  55
